"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2026 00:00 - 01/01/2026 00:15","BZN|DE-LU","45866.93","47568.38"
"01/01/2026 14:00 - 01/01/2026 14:15","BZN|DE-LU","52593.59","52420.14"
"01/01/2026 14:15 - 01/01/2026 14:30","BZN|DE-LU","52531.61","52680.15"
"01/01/2026 14:30 - 01/01/2026 14:45","BZN|DE-LU","52722.33","52434.51"
"01/01/2026 14:45 - 01/01/2026 15:00","BZN|DE-LU","52766.10","52375.02"
"01/01/2026 15:00 - 01/01/2026 15:15","BZN|DE-LU","52629.48","52388.07"
"01/01/2026 15:15 - 01/01/2026 15:30","BZN|DE-LU","52471.54","52376.37"
"01/01/2026 15:30 - 01/01/2026 15:45","BZN|DE-LU","52728.56","53117.76"
"01/01/2026 15:45 - 01/01/2026 16:00","BZN|DE-LU","53179.23","52406.18"
"01/01/2026 16:00 - 01/01/2026 16:15","BZN|DE-LU","54069.92","52689.58"
"01/01/2026 16:15 - 01/01/2026 16:30","BZN|DE-LU","54425.84","53187.66"
"01/01/2026 16:30 - 01/01/2026 16:45","BZN|DE-LU","55126.14","54080.71"
"01/01/2026 16:45 - 01/01/2026 17:00","BZN|DE-LU","55691.10","54369.99"
"01/01/2026 17:00 - 01/01/2026 17:15","BZN|DE-LU","56436.22","55163.80"
"01/01/2026 17:15 - 01/01/2026 17:30","BZN|DE-LU","56849.88","55623.58"
"01/01/2026 17:30 - 01/01/2026 17:45","BZN|DE-LU","56983.74","56452.77"
"01/01/2026 17:45 - 01/01/2026 18:00","BZN|DE-LU","57091.05","56649.78"
"01/01/2026 18:00 - 01/01/2026 18:15","BZN|DE-LU","57258.52","57039.16"
"01/01/2026 18:15 - 01/01/2026 18:30","BZN|DE-LU","56924.56","56868.81"
"01/01/2026 18:30 - 01/01/2026 18:45","BZN|DE-LU","56969.76","57077.63"
"01/01/2026 18:45 - 01/01/2026 19:00","BZN|DE-LU","56617.83","56951.51"
"01/01/2026 19:00 - 01/01/2026 19:15","BZN|DE-LU","56589.31","56673.31"
"01/01/2026 19:15 - 01/01/2026 19:30","BZN|DE-LU","55860.85","56405.96"
"01/01/2026 19:30 - 01/01/2026 19:45","BZN|DE-LU","55674.64","56247.67"
"01/01/2026 19:45 - 01/01/2026 20:00","BZN|DE-LU","55260.18","55696.11"
"01/01/2026 20:00 - 01/01/2026 20:15","BZN|DE-LU","54268.41","55342.26"
"01/01/2026 20:15 - 01/01/2026 20:30","BZN|DE-LU","53678.06","55009.01"
"01/01/2026 20:30 - 01/01/2026 20:45","BZN|DE-LU","53114.39","54356.30"
"01/01/2026 20:45 - 01/01/2026 21:00","BZN|DE-LU","52815.34","54225.60"
"01/01/2026 21:00 - 01/01/2026 21:15","BZN|DE-LU","52069.60","53654.57"
"01/01/2026 21:15 - 01/01/2026 21:30","BZN|DE-LU","51436.23","53215.29"
"01/01/2026 21:30 - 01/01/2026 21:45","BZN|DE-LU","51000.84","52743.88"
"01/01/2026 21:45 - 01/01/2026 22:00","BZN|DE-LU","50168.02","52409.05"
"01/01/2026 22:00 - 01/01/2026 22:15","BZN|DE-LU","50905.25","52196.08"
"01/01/2026 22:15 - 01/01/2026 22:30","BZN|DE-LU","50574.96","51623.71"
"01/01/2026 22:30 - 01/01/2026 22:45","BZN|DE-LU","50356.59","50941.19"
"01/01/2026 22:45 - 01/01/2026 23:00","BZN|DE-LU","49647.40","50402.03"
"01/01/2026 23:00 - 01/01/2026 23:15","BZN|DE-LU","49322.08","49465.61"
"01/01/2026 23:15 - 01/01/2026 23:30","BZN|DE-LU","48956.38","48812.66"
"01/01/2026 23:30 - 01/01/2026 23:45","BZN|DE-LU","48470.84","48442.04"
"01/01/2026 23:45 - 02/01/2026 00:00","BZN|DE-LU","47549.33","47798.20"
"02/01/2026 00:00 - 02/01/2026 00:15","BZN|DE-LU","46662.73","48693.73"
"02/01/2026 00:15 - 02/01/2026 00:30","BZN|DE-LU","45768.69","48263.57"
"02/01/2026 00:30 - 02/01/2026 00:45","BZN|DE-LU","45187.93","48009.38"
"02/01/2026 00:45 - 02/01/2026 01:00","BZN|DE-LU","45056.83","47545.82"
"02/01/2026 01:00 - 02/01/2026 01:15","BZN|DE-LU","44749.28","46851.68"
"02/01/2026 01:15 - 02/01/2026 01:30","BZN|DE-LU","44792.59","46534.02"
"02/01/2026 01:30 - 02/01/2026 01:45","BZN|DE-LU","44595.88","46332.98"
"02/01/2026 01:45 - 02/01/2026 02:00","BZN|DE-LU","44646.44","46222.36"
"02/01/2026 02:00 - 02/01/2026 02:15","BZN|DE-LU","43980.35","46125.83"
"02/01/2026 02:15 - 02/01/2026 02:30","BZN|DE-LU","44127.92","46192.74"
"02/01/2026 02:30 - 02/01/2026 02:45","BZN|DE-LU","43994.04","45995.06"
"02/01/2026 02:45 - 02/01/2026 03:00","BZN|DE-LU","43835.42","46028.56"
"02/01/2026 03:00 - 02/01/2026 03:15","BZN|DE-LU","43552.13","45991.84"
"02/01/2026 03:15 - 02/01/2026 03:30","BZN|DE-LU","43335.33","46126.93"
"02/01/2026 03:30 - 02/01/2026 03:45","BZN|DE-LU","43578.08","46378.63"
"02/01/2026 03:45 - 02/01/2026 04:00","BZN|DE-LU","43939.58","46527.21"
"02/01/2026 04:00 - 02/01/2026 04:15","BZN|DE-LU","44407.59","46734.27"
"02/01/2026 04:15 - 02/01/2026 04:30","BZN|DE-LU","44504.45","47133.71"
"02/01/2026 04:30 - 02/01/2026 04:45","BZN|DE-LU","44788.56","47678.59"
"02/01/2026 04:45 - 02/01/2026 05:00","BZN|DE-LU","45237.79","48176.95"
"02/01/2026 05:00 - 02/01/2026 05:15","BZN|DE-LU","46086.28","49174.62"
"02/01/2026 05:15 - 02/01/2026 05:30","BZN|DE-LU","46459.75","49912.79"
"02/01/2026 05:30 - 02/01/2026 05:45","BZN|DE-LU","46871.00","52106.06"
"02/01/2026 05:45 - 02/01/2026 06:00","BZN|DE-LU","47368.67","53279.88"
"02/01/2026 06:00 - 02/01/2026 06:15","BZN|DE-LU","48294.75","54505.72"
"02/01/2026 06:15 - 02/01/2026 06:30","BZN|DE-LU","48729.88","55721.76"
"02/01/2026 06:30 - 02/01/2026 06:45","BZN|DE-LU","49354.97","56873.91"
"02/01/2026 06:45 - 02/01/2026 07:00","BZN|DE-LU","49723.35","57757.61"
"02/01/2026 07:00 - 02/01/2026 07:15","BZN|DE-LU","51857.19","59207.11"
"02/01/2026 07:15 - 02/01/2026 07:30","BZN|DE-LU","52619.42","60760.73"
"02/01/2026 07:30 - 02/01/2026 07:45","BZN|DE-LU","53522.01","61895.34"
"02/01/2026 07:45 - 02/01/2026 08:00","BZN|DE-LU","54133.33","62756.26"
"02/01/2026 08:00 - 02/01/2026 08:15","BZN|DE-LU","54824.81","62990.13"
"02/01/2026 08:15 - 02/01/2026 08:30","BZN|DE-LU","55166.44","63923.19"
"02/01/2026 08:30 - 02/01/2026 08:45","BZN|DE-LU","56058.52","64240.85"
"02/01/2026 08:45 - 02/01/2026 09:00","BZN|DE-LU","56761.38","64865.31"
"02/01/2026 09:00 - 02/01/2026 09:15","BZN|DE-LU","57360.12","65097.37"
"02/01/2026 09:15 - 02/01/2026 09:30","BZN|DE-LU","58408.09","64519.65"
"02/01/2026 09:30 - 02/01/2026 09:45","BZN|DE-LU","58285.64","64579.91"
"02/01/2026 09:45 - 02/01/2026 10:00","BZN|DE-LU","58632.88","65338.49"
"02/01/2026 10:00 - 02/01/2026 10:15","BZN|DE-LU","59683.32","64669.22"
"02/01/2026 10:15 - 02/01/2026 10:30","BZN|DE-LU","60337.62","65310.24"
"02/01/2026 10:30 - 02/01/2026 10:45","BZN|DE-LU","60679.30","66000.15"
"02/01/2026 10:45 - 02/01/2026 11:00","BZN|DE-LU","60743.45","65776.79"
"02/01/2026 11:00 - 02/01/2026 11:15","BZN|DE-LU","60701.55","65618.89"
"02/01/2026 11:15 - 02/01/2026 11:30","BZN|DE-LU","61027.38","67342.99"
"02/01/2026 11:30 - 02/01/2026 11:45","BZN|DE-LU","61658.83","66617.97"
"02/01/2026 11:45 - 02/01/2026 12:00","BZN|DE-LU","61679.12","67711.12"
"02/01/2026 12:00 - 02/01/2026 12:15","BZN|DE-LU","62235.64","66615.44"
"02/01/2026 12:15 - 02/01/2026 12:30","BZN|DE-LU","62369.97","67301.72"
"02/01/2026 12:30 - 02/01/2026 12:45","BZN|DE-LU","62272.70","68082.34"
"02/01/2026 12:45 - 02/01/2026 13:00","BZN|DE-LU","62430.73","69231.02"
"02/01/2026 13:00 - 02/01/2026 13:15","BZN|DE-LU","62341.67","68554.91"
"02/01/2026 13:15 - 02/01/2026 13:30","BZN|DE-LU","62169.19","66203.50"
"02/01/2026 13:30 - 02/01/2026 13:45","BZN|DE-LU","61708.95","66525.45"
"02/01/2026 13:45 - 02/01/2026 14:00","BZN|DE-LU","61104.93","65599.00"
"02/01/2026 14:00 - 02/01/2026 14:15","BZN|DE-LU","61273.89","67178.32"
"02/01/2026 14:15 - 02/01/2026 14:30","BZN|DE-LU","61089.60","69095.69"
"02/01/2026 14:30 - 02/01/2026 14:45","BZN|DE-LU","60992.75","66800.68"
"02/01/2026 14:45 - 02/01/2026 15:00","BZN|DE-LU","61116.13","67499.17"
"02/01/2026 15:00 - 02/01/2026 15:15","BZN|DE-LU","61348.59","66456.16"
"02/01/2026 15:15 - 02/01/2026 15:30","BZN|DE-LU","61360.81","63922.75"
"02/01/2026 15:30 - 02/01/2026 15:45","BZN|DE-LU","61654.60","66372.37"
"02/01/2026 15:45 - 02/01/2026 16:00","BZN|DE-LU","61425.38","65255.29"
"02/01/2026 16:00 - 02/01/2026 16:15","BZN|DE-LU","61621.27","64995.69"
"02/01/2026 16:15 - 02/01/2026 16:30","BZN|DE-LU","61660.95","65625.56"
"02/01/2026 16:30 - 02/01/2026 16:45","BZN|DE-LU","61668.08","66028.51"
"02/01/2026 16:45 - 02/01/2026 17:00","BZN|DE-LU","62640.67","66175.97"
"02/01/2026 17:00 - 02/01/2026 17:15","BZN|DE-LU","63517.83","67130.02"
"02/01/2026 17:15 - 02/01/2026 17:30","BZN|DE-LU","64132.55","66648.99"
"02/01/2026 17:30 - 02/01/2026 17:45","BZN|DE-LU","64197.07","67300.26"
"02/01/2026 17:45 - 02/01/2026 18:00","BZN|DE-LU","64359.20","67754.27"
"02/01/2026 18:00 - 02/01/2026 18:15","BZN|DE-LU","64561.20","67752.67"
"02/01/2026 18:15 - 02/01/2026 18:30","BZN|DE-LU","64447.10","67373.06"
"02/01/2026 18:30 - 02/01/2026 18:45","BZN|DE-LU","64171.93","67400.67"
"02/01/2026 18:45 - 02/01/2026 19:00","BZN|DE-LU","63944.28","67078.11"
"02/01/2026 19:00 - 02/01/2026 19:15","BZN|DE-LU","62742.38","66159.51"
"02/01/2026 19:15 - 02/01/2026 19:30","BZN|DE-LU","61820.01","65605.31"
"02/01/2026 19:30 - 02/01/2026 19:45","BZN|DE-LU","61197.89","64891.86"
"02/01/2026 19:45 - 02/01/2026 20:00","BZN|DE-LU","60258.36","64484.81"
"02/01/2026 20:00 - 02/01/2026 20:15","BZN|DE-LU","59071.10","63491.22"
"02/01/2026 20:15 - 02/01/2026 20:30","BZN|DE-LU","57980.27","62333.46"
"02/01/2026 20:30 - 02/01/2026 20:45","BZN|DE-LU","57185.97","61637.39"
"02/01/2026 20:45 - 02/01/2026 21:00","BZN|DE-LU","56719.59","61094.16"
"02/01/2026 21:00 - 02/01/2026 21:15","BZN|DE-LU","56212.26","59888.63"
"02/01/2026 21:15 - 02/01/2026 21:30","BZN|DE-LU","55753.53","59289.58"
"02/01/2026 21:30 - 02/01/2026 21:45","BZN|DE-LU","55078.11","58328.25"
"02/01/2026 21:45 - 02/01/2026 22:00","BZN|DE-LU","54907.89","57664.34"
"02/01/2026 22:00 - 02/01/2026 22:15","BZN|DE-LU","55052.41","57282.97"
"02/01/2026 22:15 - 02/01/2026 22:30","BZN|DE-LU","54387.43","56427.39"
"02/01/2026 22:30 - 02/01/2026 22:45","BZN|DE-LU","53867.29","55473.02"
"02/01/2026 22:45 - 02/01/2026 23:00","BZN|DE-LU","53128.91","54597.78"
"02/01/2026 23:00 - 02/01/2026 23:15","BZN|DE-LU","52462.78","53350.13"
"02/01/2026 23:15 - 02/01/2026 23:30","BZN|DE-LU","51794.25","52594.51"
"02/01/2026 23:30 - 02/01/2026 23:45","BZN|DE-LU","51293.85","51879.23"
"02/01/2026 23:45 - 03/01/2026 00:00","BZN|DE-LU","50985.50","51088.73"
"03/01/2026 00:00 - 03/01/2026 00:15","BZN|DE-LU","50338.05","50215.40"
"03/01/2026 00:15 - 03/01/2026 00:30","BZN|DE-LU","49445.96","49347.88"
"03/01/2026 00:30 - 03/01/2026 00:45","BZN|DE-LU","49098.85","48982.42"
"03/01/2026 00:45 - 03/01/2026 01:00","BZN|DE-LU","49051.32","48257.16"
"03/01/2026 01:00 - 03/01/2026 01:15","BZN|DE-LU","48460.00","47654.84"
"03/01/2026 01:15 - 03/01/2026 01:30","BZN|DE-LU","48394.61","46857.01"
"03/01/2026 01:30 - 03/01/2026 01:45","BZN|DE-LU","47520.93","46772.09"
"03/01/2026 01:45 - 03/01/2026 02:00","BZN|DE-LU","47524.45","46467.36"
"03/01/2026 02:00 - 03/01/2026 02:15","BZN|DE-LU","46990.88","46290.27"
"03/01/2026 02:15 - 03/01/2026 02:30","BZN|DE-LU","46299.98","45821.89"
"03/01/2026 02:30 - 03/01/2026 02:45","BZN|DE-LU","46064.85","45439.25"
"03/01/2026 02:45 - 03/01/2026 03:00","BZN|DE-LU","45584.60","45278.51"
"03/01/2026 03:00 - 03/01/2026 03:15","BZN|DE-LU","45293.65","44884.70"
"03/01/2026 03:15 - 03/01/2026 03:30","BZN|DE-LU","45299.14","45404.20"
"03/01/2026 03:30 - 03/01/2026 03:45","BZN|DE-LU","44880.88","45105.46"
"03/01/2026 03:45 - 03/01/2026 04:00","BZN|DE-LU","45159.90","44703.86"
"03/01/2026 04:00 - 03/01/2026 04:15","BZN|DE-LU","44802.35","45456.21"
"03/01/2026 04:15 - 03/01/2026 04:30","BZN|DE-LU","45225.19","45202.68"
"03/01/2026 04:30 - 03/01/2026 04:45","BZN|DE-LU","45384.34","45344.13"
"03/01/2026 04:45 - 03/01/2026 05:00","BZN|DE-LU","45473.44","45053.31"
"03/01/2026 05:00 - 03/01/2026 05:15","BZN|DE-LU","45590.69","44866.11"
"03/01/2026 05:15 - 03/01/2026 05:30","BZN|DE-LU","45741.30","45185.45"
"03/01/2026 05:30 - 03/01/2026 05:45","BZN|DE-LU","45792.84","44246.11"
"03/01/2026 05:45 - 03/01/2026 06:00","BZN|DE-LU","45987.79","44406.26"
"03/01/2026 06:00 - 03/01/2026 06:15","BZN|DE-LU","45950.45","45073.72"
"03/01/2026 06:15 - 03/01/2026 06:30","BZN|DE-LU","46351.75","45382.73"
"03/01/2026 06:30 - 03/01/2026 06:45","BZN|DE-LU","47040.06","45840.21"
"03/01/2026 06:45 - 03/01/2026 07:00","BZN|DE-LU","47257.89","46428.99"
"03/01/2026 07:00 - 03/01/2026 07:15","BZN|DE-LU","48028.68","47164.34"
"03/01/2026 07:15 - 03/01/2026 07:30","BZN|DE-LU","48770.21","47927.71"
"03/01/2026 07:30 - 03/01/2026 07:45","BZN|DE-LU","49549.28","48569.69"
"03/01/2026 07:45 - 03/01/2026 08:00","BZN|DE-LU","49850.52","49327.41"
"03/01/2026 08:00 - 03/01/2026 08:15","BZN|DE-LU","50856.57","50404.16"
"03/01/2026 08:15 - 03/01/2026 08:30","BZN|DE-LU","51465.32","51403.64"
"03/01/2026 08:30 - 03/01/2026 08:45","BZN|DE-LU","52129.44","52273.80"
"03/01/2026 08:45 - 03/01/2026 09:00","BZN|DE-LU","52672.72","52904.18"
"03/01/2026 09:00 - 03/01/2026 09:15","BZN|DE-LU","53981.80","53614.68"
"03/01/2026 09:15 - 03/01/2026 09:30","BZN|DE-LU","54685.33","54396.41"
"03/01/2026 09:30 - 03/01/2026 09:45","BZN|DE-LU","55438.41","55008.45"
"03/01/2026 09:45 - 03/01/2026 10:00","BZN|DE-LU","56127.54","55651.19"
"03/01/2026 10:00 - 03/01/2026 10:15","BZN|DE-LU","56712.17","55878.39"
"03/01/2026 10:15 - 03/01/2026 10:30","BZN|DE-LU","57410.58","56224.64"
"03/01/2026 10:30 - 03/01/2026 10:45","BZN|DE-LU","58217.44","56496.48"
"03/01/2026 10:45 - 03/01/2026 11:00","BZN|DE-LU","58676.26","56868.37"
"03/01/2026 11:00 - 03/01/2026 11:15","BZN|DE-LU","59096.04","57056.62"
"03/01/2026 11:15 - 03/01/2026 11:30","BZN|DE-LU","59729.77","57117.79"
"03/01/2026 11:30 - 03/01/2026 11:45","BZN|DE-LU","60117.67","57370.65"
"03/01/2026 11:45 - 03/01/2026 12:00","BZN|DE-LU","60733.07","57177.96"
"03/01/2026 12:00 - 03/01/2026 12:15","BZN|DE-LU","61012.84","56975.90"
"03/01/2026 12:15 - 03/01/2026 12:30","BZN|DE-LU","60733.47","56871.60"
"03/01/2026 12:30 - 03/01/2026 12:45","BZN|DE-LU","60316.64","56714.08"
"03/01/2026 12:45 - 03/01/2026 13:00","BZN|DE-LU","59923.81","56306.37"
"03/01/2026 13:00 - 03/01/2026 13:15","BZN|DE-LU","59562.08","56096.25"
"03/01/2026 13:15 - 03/01/2026 13:30","BZN|DE-LU","59106.17","55569.46"
"03/01/2026 13:30 - 03/01/2026 13:45","BZN|DE-LU","58519.11","55209.25"
"03/01/2026 13:45 - 03/01/2026 14:00","BZN|DE-LU","58292.46","54868.97"
"03/01/2026 14:00 - 03/01/2026 14:15","BZN|DE-LU","57944.56","54679.64"
"03/01/2026 14:15 - 03/01/2026 14:30","BZN|DE-LU","57721.06","54280.72"
"03/01/2026 14:30 - 03/01/2026 14:45","BZN|DE-LU","57901.99","53958.01"
"03/01/2026 14:45 - 03/01/2026 15:00","BZN|DE-LU","58041.84","53809.43"
"03/01/2026 15:00 - 03/01/2026 15:15","BZN|DE-LU","58244.34","54052.40"
"03/01/2026 15:15 - 03/01/2026 15:30","BZN|DE-LU","58261.83","54050.37"
"03/01/2026 15:30 - 03/01/2026 15:45","BZN|DE-LU","58259.64","54225.38"
"03/01/2026 15:45 - 03/01/2026 16:00","BZN|DE-LU","58053.64","54495.80"
"03/01/2026 16:00 - 03/01/2026 16:15","BZN|DE-LU","58195.17","55103.93"
"03/01/2026 16:15 - 03/01/2026 16:30","BZN|DE-LU","58476.50","55127.07"
"03/01/2026 16:30 - 03/01/2026 16:45","BZN|DE-LU","59425.69","55338.78"
"03/01/2026 16:45 - 03/01/2026 17:00","BZN|DE-LU","60329.19","55762.18"
"03/01/2026 17:00 - 03/01/2026 17:15","BZN|DE-LU","61400.38","56739.57"
"03/01/2026 17:15 - 03/01/2026 17:30","BZN|DE-LU","61422.81","57624.06"
"03/01/2026 17:30 - 03/01/2026 17:45","BZN|DE-LU","61632.93","58225.02"
"03/01/2026 17:45 - 03/01/2026 18:00","BZN|DE-LU","61526.82","58684.02"
"03/01/2026 18:00 - 03/01/2026 18:15","BZN|DE-LU","61094.49","58528.69"
"03/01/2026 18:15 - 03/01/2026 18:30","BZN|DE-LU","61559.85","58625.17"
"03/01/2026 18:30 - 03/01/2026 18:45","BZN|DE-LU","61526.61","59452.21"
"03/01/2026 18:45 - 03/01/2026 19:00","BZN|DE-LU","61537.14","59167.38"
"03/01/2026 19:00 - 03/01/2026 19:15","BZN|DE-LU","61043.62","57933.00"
"03/01/2026 19:15 - 03/01/2026 19:30","BZN|DE-LU","60679.43","57278.54"
"03/01/2026 19:30 - 03/01/2026 19:45","BZN|DE-LU","60215.55","56466.53"
"03/01/2026 19:45 - 03/01/2026 20:00","BZN|DE-LU","59588.31","55518.12"
"03/01/2026 20:00 - 03/01/2026 20:15","BZN|DE-LU","58682.43","55164.78"
"03/01/2026 20:15 - 03/01/2026 20:30","BZN|DE-LU","57637.19","54193.32"
"03/01/2026 20:30 - 03/01/2026 20:45","BZN|DE-LU","56419.78","53190.06"
"03/01/2026 20:45 - 03/01/2026 21:00","BZN|DE-LU","55825.33","52679.17"
"03/01/2026 21:00 - 03/01/2026 21:15","BZN|DE-LU","55070.88","52014.87"
"03/01/2026 21:15 - 03/01/2026 21:30","BZN|DE-LU","54569.48","51702.41"
"03/01/2026 21:30 - 03/01/2026 21:45","BZN|DE-LU","54070.85","50966.26"
"03/01/2026 21:45 - 03/01/2026 22:00","BZN|DE-LU","53968.78","50410.35"
"03/01/2026 22:00 - 03/01/2026 22:15","BZN|DE-LU","54235.50","50069.55"
"03/01/2026 22:15 - 03/01/2026 22:30","BZN|DE-LU","53968.76","49487.99"
"03/01/2026 22:30 - 03/01/2026 22:45","BZN|DE-LU","53174.13","48879.75"
"03/01/2026 22:45 - 03/01/2026 23:00","BZN|DE-LU","52772.39","48136.61"
"03/01/2026 23:00 - 03/01/2026 23:15","BZN|DE-LU","52115.62","47359.58"
"03/01/2026 23:15 - 03/01/2026 23:30","BZN|DE-LU","51820.23","46730.67"
"03/01/2026 23:30 - 03/01/2026 23:45","BZN|DE-LU","51112.32","46331.75"
"03/01/2026 23:45 - 04/01/2026 00:00","BZN|DE-LU","50442.35","45526.56"
"04/01/2026 00:00 - 04/01/2026 00:15","BZN|DE-LU","48862.54","46249.67"
"04/01/2026 00:15 - 04/01/2026 00:30","BZN|DE-LU","47665.37","45662.05"
"04/01/2026 00:30 - 04/01/2026 00:45","BZN|DE-LU","46927.87","45263.60"
"04/01/2026 00:45 - 04/01/2026 01:00","BZN|DE-LU","46734.61","44806.12"
"04/01/2026 01:00 - 04/01/2026 01:15","BZN|DE-LU","46039.30","44445.66"
"04/01/2026 01:15 - 04/01/2026 01:30","BZN|DE-LU","45736.68","44039.44"
"04/01/2026 01:30 - 04/01/2026 01:45","BZN|DE-LU","45713.73","43780.52"
"04/01/2026 01:45 - 04/01/2026 02:00","BZN|DE-LU","45446.68","43522.46"
"04/01/2026 02:00 - 04/01/2026 02:15","BZN|DE-LU","44773.11","43397.30"
"04/01/2026 02:15 - 04/01/2026 02:30","BZN|DE-LU","44630.06","42928.55"
"04/01/2026 02:30 - 04/01/2026 02:45","BZN|DE-LU","44017.15","42911.42"
"04/01/2026 02:45 - 04/01/2026 03:00","BZN|DE-LU","43920.81","42899.52"
"04/01/2026 03:00 - 04/01/2026 03:15","BZN|DE-LU","44223.17","42935.43"
